scenario,baseline,run,outcome,ros_published,stale_executed
move,xair,0,REVOKE,False,False
move,xair,1,REVOKE,False,False
move,xair,2,REVOKE,False,False
move,xair,3,REVOKE,False,False
move,xair,4,REVOKE,False,False
move,xair,5,REVOKE,False,False
move,xair,6,REVOKE,False,False
move,xair,7,REVOKE,False,False
move,xair,8,REVOKE,False,False
move,xair,9,REVOKE,False,False
move,xair,10,REVOKE,False,False
move,xair,11,REVOKE,False,False
move,xair,12,,False,False
move,xair,13,REVOKE,False,False
move,xair,14,REVOKE,False,False
move,xair,15,,False,False
move,xair,16,REVOKE,False,False
move,xair,17,REVOKE,False,False
move,xair,18,REVOKE,False,False
move,xair,19,REVOKE,False,False
move,xair,20,REVOKE,False,False
move,xair,21,REVOKE,False,False
move,xair,22,REVOKE,False,False
move,xair,23,REVOKE,False,False
move,xair,24,REVOKE,False,False
move,xair,25,REVOKE,False,False
move,xair,26,,False,False
move,xair,27,REVOKE,False,False
move,xair,28,REVOKE,False,False
move,xair,29,REVOKE,False,False
move,direct,0,EXECUTE,True,True
move,direct,1,,False,False
move,direct,2,,False,False
move,direct,3,EXECUTE,True,True
move,direct,4,EXECUTE,True,True
move,direct,5,,False,False
move,direct,6,EXECUTE,True,True
move,direct,7,,False,False
move,direct,8,EXECUTE,True,True
move,direct,9,EXECUTE,True,True
move,direct,10,EXECUTE,True,True
move,direct,11,EXECUTE,True,True
move,direct,12,EXECUTE,True,True
move,direct,13,EXECUTE,True,True
move,direct,14,EXECUTE,True,True
move,direct,15,EXECUTE,True,True
move,direct,16,EXECUTE,True,True
move,direct,17,,False,False
move,direct,18,EXECUTE,True,True
move,direct,19,EXECUTE,True,True
move,direct,20,EXECUTE,True,True
move,direct,21,EXECUTE,True,True
move,direct,22,EXECUTE,True,True
move,direct,23,,False,False
move,direct,24,EXECUTE,True,True
move,direct,25,,False,False
move,direct,26,EXECUTE,True,True
move,direct,27,EXECUTE,True,True
move,direct,28,EXECUTE,True,True
move,direct,29,EXECUTE,True,True
grasp,xair,0,,False,False
grasp,xair,1,REVOKE,False,False
grasp,xair,2,REVOKE,False,False
grasp,xair,3,REVOKE,False,False
grasp,xair,4,REVOKE,False,False
grasp,xair,5,REVOKE,False,False
grasp,xair,6,,False,False
grasp,xair,7,REVOKE,False,False
grasp,xair,8,REVOKE,False,False
grasp,xair,9,REVOKE,False,False
grasp,xair,10,REVOKE,False,False
grasp,xair,11,REVOKE,False,False
grasp,xair,12,REVOKE,False,False
grasp,xair,13,REVOKE,False,False
grasp,xair,14,REVOKE,False,False
grasp,xair,15,REVOKE,False,False
grasp,xair,16,REVOKE,False,False
grasp,xair,17,REVOKE,False,False
grasp,xair,18,REVOKE,False,False
grasp,xair,19,REVOKE,False,False
grasp,xair,20,REVOKE,False,False
grasp,xair,21,REVOKE,False,False
grasp,xair,22,REVOKE,False,False
grasp,xair,23,REVOKE,False,False
grasp,xair,24,,False,False
grasp,xair,25,REVOKE,False,False
grasp,xair,26,REVOKE,False,False
grasp,xair,27,REVOKE,False,False
grasp,xair,28,,False,False
grasp,xair,29,REVOKE,False,False
grasp,direct,0,EXECUTE,True,True
grasp,direct,1,EXECUTE,True,True
grasp,direct,2,EXECUTE,True,True
grasp,direct,3,EXECUTE,True,True
grasp,direct,4,EXECUTE,True,True
grasp,direct,5,EXECUTE,True,True
grasp,direct,6,EXECUTE,True,True
grasp,direct,7,EXECUTE,True,True
grasp,direct,8,EXECUTE,True,True
grasp,direct,9,EXECUTE,True,True
grasp,direct,10,,False,False
grasp,direct,11,EXECUTE,True,True
grasp,direct,12,EXECUTE,True,True
grasp,direct,13,,False,False
grasp,direct,14,EXECUTE,True,True
grasp,direct,15,EXECUTE,True,True
grasp,direct,16,EXECUTE,True,True
grasp,direct,17,EXECUTE,True,True
grasp,direct,18,EXECUTE,True,True
grasp,direct,19,EXECUTE,True,True
grasp,direct,20,EXECUTE,True,True
grasp,direct,21,EXECUTE,True,True
grasp,direct,22,EXECUTE,True,True
grasp,direct,23,EXECUTE,True,True
grasp,direct,24,EXECUTE,True,True
grasp,direct,25,EXECUTE,True,True
grasp,direct,26,EXECUTE,True,True
grasp,direct,27,EXECUTE,True,True
grasp,direct,28,EXECUTE,True,True
grasp,direct,29,EXECUTE,True,True
